sid,cid,label,PUBCHEM_ACTIVITY_SCORE,Potency,Efficacy,Source,SMILES
144206484,3307,1,41,25.6016,35.4188,Tox21 10K,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
144206814,10455790,1,45,4.2163,40.3036,Tox21 10K,O=C(N[C@@H]1N=C(c2ccccc2F)c2cccc3c2N(CC3)C1=O)c1cc2ccccc2[nH]1
144206823,5282203,1,44,11.8832,50.7746,Tox21 10K,CC(C(=O)O)c1ccc(/C=C2\CCCCC2=O)cc1
144206861,9570475,1,47,11.4358,90.618,Tox21 10K,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1
144206862,35751,1,41,16.7855,22,Tox21 10K,CC(=O)c1ccc(OCC(=O)N2CCCCC2)cc1
144206887,164072,1,43,6.3086,29.0444,Tox21 10K,Cc1ccc2c(n1)Oc1ccc(C(C)C(=O)OCC(=O)N(C)C)cc1C2
144207230,5281707,1,40,56.3848,39.575,Tox21 10K,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12
144207266,7595,1,45,5.1644,46.0389,Tox21 10K,O=C(Nc1ccccc1)Nc1ccccc1
144207291,5282379,1,44,5.9009,43.6732,Tox21 10K,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
144207298,16741,1,45,12.222,66.7112,Tox21 10K,S=C=NCCc1ccccc1
144207304,6035,1,42,15.0029,32.0424,Tox21 10K,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br
144207332,61100,1,49,6.1317,84.2098,Tox21 10K,NNCCc1ccccc1
144207368,32346,1,40,54.0397,43.1103,Tox21 10K,NC(=O)Nc1nc2ccccc2[nH]1
144207369,40301,1,42,27.2227,51.3625,Tox21 10K,Nc1nc(-c2ccccc2)cs1
144207396,12089,1,49,23.7541,171.3988,Tox21 10K,NNc1ccc(C(=O)O)cc1
144207397,627458,1,42,11.8507,26.8163,Tox21 10K,COc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
144207432,18502,1,44,9.1652,47.0442,Tox21 10K,O=C=NC1CCCCC1
144207471,7737,1,40,56.6506,37.8393,Tox21 10K,O=Nc1ccc(NO)cc1
144207494,5273621,1,50,5.6372,91.751,Tox21 10K,COc1cc(/C=C/c2ccccc2)oc(=O)c1
144207503,15588,1,49,9.8836,101.9208,Tox21 10K,O=C(O)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O
144207687,146540,1,47,27.8066,152.3434,Tox21 10K,NNCc1ccccc1
144207704,7253,1,46,9.0732,70.9224,Tox21 10K,Cc1cc(O)ccc1O
144207705,6670,1,42,15.6525,28.3643,Tox21 10K,Nc1ccc2ccccc2c1S(=O)(=O)O
144207726,12244,1,41,29.6018,42.0764,Tox21 10K,CC(C)CC#N
144207741,8570,1,43,3.7383,29.233,Tox21 10K,COc1ccc(C(=O)c2ccc(OC)cc2O)c(O)c1
144207743,87250,1,41,19.4492,25.5749,Tox21 10K,O=C(Oc1ccccc1)c1ccc(O)cc1
144207749,23019,1,47,6.1877,68.5505,Tox21 10K,CCCCCOC(=O)c1ccc(O)cc1
144207815,7490,1,41,27.3893,39.7513,Tox21 10K,CN(C)c1ccc(N(C)C)cc1
