cid,SMILES,label,Name
53385590,COc1cc(O)c(C(CC(=O)N2C[C@H](C)C[C@H](C)C2)c2ccc3c(c2)OCO3)c(OC)c1,0,4n
5352135,CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,E-4-OHT
135356971,COC(=O)C(C)C/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,3h; DY181
11223355,CC(C)/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,3a
135356983,CC(CO)C/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,3n
137648454,COC(=O)C(C)CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,0,1h
135356810,COC(=O)CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,3g
11373378,CC(C)C/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,3f
11154982,CC(=O)Oc1ccc(/C(=C(/c2ccccc2)C(C)C)c2ccc(OCCN(C)C)cc2)cc1,0,4a; DY40
137632572,COC(=O)CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,0,1g
137634677,CC(=O)Oc1ccc(/C(=C(\CC(C)CO)c2ccccc2)c2ccc(OCCN(C)C)cc2)cc1,0,4n
137636516,CC(=O)Oc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(OCCN(C)C)cc2)cc1,0,4k
63062,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,Z-4-OHT
6852176,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1,0,3k; Z-GSK5182
145964137,CC(C)(C)c1ccc(CCNC(=O)Cc2ccc(O)cc2)cc1,0,SR19894
145964306,CCN(CC)c1ccc2cc(NC(=O)c3ccc(O)cc3)ccc2c1,0,SR20043
145978085,CCN(CC)c1ccc(CCNC(=O)c2ccc(O)cc2)cc1,0,SR19881
145977071,CC(C)(C)c1ccc(CCNC(=O)c2ccc(O)cc2)cc1,0,SR19797
145977581,CCN(CC(C)C)c1ccc(CCNC(=O)c2ccc(O)cc2)cc1,0,SR20041
5331325,CC(C)c1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1,0,GSK4716
134155994,CN(C)CCOc1ccc(/C(=C(/CCCF)c2ccccc2)c2ccc(O)cc2)cc1,0,25
134144077,CN(C)CCOc1ccc(/C(=C(/CCC(F)F)c2ccccc2)c2ccc(O)cc2)cc1,0,28
145949663,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)NCc2ccccc2)c1,0,6
145956201,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)NCc2ccc(OC)cc2)c1,0,11
145955698,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCc2ccccc2)c(C(=O)OC)c1,0,5
145961412,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)Nc2cccc(OC)c2)c1,0,9
145960181,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)Nc2ccc(C)cc2)c1,0,8
145959169,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)Nc2ccccc2)c1,0,7
145957219,CCCCOc1ccc(NC(=O)NCc2cc(OCC)c(NS(C)(=O)=O)cc2OCC)cc1C(=O)OC,0,4
145956663,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)NC(C)C)c1,0,10
122182191,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccccc1,0,3
58530416,NS(=O)(=O)NC(=O)CN1C(=O)S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C1=O,0,35
86659644,CN1CC[C@@H](N2C(=O)S/C(=C\c3ccc4c(cnn4Cc4ccc(Cl)cc4C(F)(F)F)c3)C2=O)[C@H](O)C1,0,47
54597874,CN1CC[C@@H](N2C(=O)S/C(=C\c3ccc4c(cnn4Cc4ccc(Cl)cc4C(F)(F)F)c3)C2=O)[C@H](F)C1,0,50
58530397,O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1CCN1CCOCC1,0,27
58530888,CN1CCC(N2C(=O)S/C(=C\c3ccc4c(cnn4Cc4ccc(Cl)cc4C(F)(F)F)c3)C2=O)CC1,0,41
